DATE,HOME,AWAY,HSCORE,ASCORE
2018/10/16,PHI,BOS,87,105
2018/10/16,OKC,GSW,100,108
2018/10/17,MIL,CHA,113,112
2018/10/17,BKN,DET,100,103
2018/10/17,MEM,IND,83,111
2018/10/17,MIA,ORL,101,104
2018/10/17,ATL,NYK,107,126
2018/10/17,CLE,TOR,104,116
2018/10/17,NOP,HOU,131,112
2018/10/17,MIN,SAS,108,112
2018/10/17,UTA,SAC,123,117
2018/10/17,DEN,LAC,107,98
2018/10/17,DAL,PHX,100,121
2018/10/18,CHI,PHI,108,127
2018/10/18,MIA,WAS,113,112
2018/10/18,LAL,POR,119,128
2018/10/19,CHA,ORL,120,88
2018/10/19,NYK,BKN,105,107
2018/10/19,BOS,TOR,101,113
2018/10/19,ATL,MEM,117,131
2018/10/19,CLE,MIN,123,131
2018/10/19,SAC,NOP,129,149
2018/10/19,IND,MIL,101,118
2018/10/19,GSW,UTA,124,123
2018/10/19,OKC,LAC,92,108
2018/10/20,BKN,IND,112,132
2018/10/20,TOR,WAS,117,113
2018/10/20,BOS,NYK,103,101
2018/10/20,ORL,PHI,115,116
2018/10/20,CHA,MIA,113,112
2018/10/20,DET,CHI,118,116
2018/10/20,MIN,DAL,136,140
2018/10/20,PHX,DEN,91,119
2018/10/20,SAS,POR,108,121
2018/10/20,HOU,LAL,124,115
2018/10/21,ATL,CLE,133,111
2018/10/21,SAC,OKC,131,120
2018/10/21,GSW,DEN,98,100
2018/10/21,HOU,LAC,112,115
2018/10/22,ORL,BOS,93,90
2018/10/22,CHA,TOR,106,127
2018/10/22,NYK,MIL,113,124
2018/10/22,IND,MIN,91,101
2018/10/22,CHI,DAL,109,115
2018/10/22,MEM,UTA,92,84
2018/10/22,WAS,POR,125,124
2018/10/22,PHX,GSW,103,123
2018/10/22,SAS,LAL,143,142
2018/10/23,PHI,DET,132,133
2018/10/23,LAC,NOP,109,116
2018/10/23,SAC,DEN,112,126
2018/10/24,DAL,ATL,104,111
2018/10/24,BKN,CLE,102,86
2018/10/24,NYK,MIA,87,110
2018/10/24,MIN,TOR,105,112
2018/10/24,CHA,CHI,110,112
2018/10/24,UTA,HOU,100,89
2018/10/24,IND,SAS,116,96
2018/10/24,PHI,MIL,108,123
2018/10/24,LAL,PHX,131,113
2018/10/24,MEM,SAC,92,97
2018/10/24,WAS,GSW,122,144
2018/10/25,CLE,DET,103,110
2018/10/25,POR,ORL,128,114
2018/10/25,BOS,OKC,101,95
2018/10/25,DEN,LAL,114,121
2018/10/26,CHI,CHA,106,135
2018/10/26,GSW,NYK,128,100
2018/10/26,DAL,TOR,107,116
2018/10/26,LAC,HOU,133,113
2018/10/26,MIL,MIN,125,95
2018/10/26,BKN,NOP,115,117
2018/10/26,WAS,SAC,112,116
2018/10/27,BOS,DET,109,89
2018/10/27,UTA,NOP,132,111
2018/10/27,CHI,ATL,97,85
2018/10/27,IND,CLE,119,107
2018/10/27,CHA,PHI,103,105
2018/10/27,POR,MIA,111,120
2018/10/27,PHX,MEM,96,117
2018/10/27,ORL,MIL,91,113
2018/10/27,LAL,SAS,106,110
2018/10/28,GSW,BKN,120,114
2018/10/28,UTA,DAL,113,104
2018/10/28,PHX,OKC,110,117
2018/10/28,WAS,LAC,104,136
2018/10/29,POR,IND,103,93
2018/10/29,ATL,PHI,92,113
2018/10/29,SAC,MIA,123,113
2018/10/29,BKN,NYK,96,115
2018/10/29,GSW,CHI,149,124
2018/10/29,TOR,MIL,109,124
2018/10/29,LAL,MIN,120,124
2018/10/29,DAL,SAS,108,113
2018/10/29,NOP,DEN,111,116
2018/10/30,MIA,CHA,113,125
2018/10/30,ATL,CLE,114,136
2018/10/30,SAC,ORL,107,99
2018/10/30,DET,BOS,105,108
2018/10/30,PHI,TOR,112,129
2018/10/30,POR,HOU,104,85
2018/10/30,WAS,MEM,95,107
2018/10/30,LAC,OKC,110,128
2018/10/31,DET,BKN,119,120
2018/10/31,IND,NYK,107,101
2018/10/31,DEN,CHI,108,107
2018/10/31,UTA,MIN,125,128
2018/10/31,NOP,GSW,121,131
2018/10/31,DAL,LAL,113,114
2018/10/31,SAS,PHX,120,90
2018/11/1,OKC,CHA,111,107
2018/11/1,DEN,CLE,110,91
2018/11/1,LAC,PHI,113,122
2018/11/1,SAC,ATL,146,115
2018/11/1,MIL,BOS,113,117
2018/11/1,NOP,POR,119,132
2018/11/2,LAC,ORL,120,95
2018/11/2,HOU,BKN,119,111
2018/11/2,OKC,WAS,134,111
2018/11/2,IND,CHI,107,105
2018/11/2,NYK,DAL,118,106
2018/11/2,MEM,UTA,110,100
2018/11/2,TOR,PHX,107,98
2018/11/2,MIN,GSW,99,116
2018/11/3,DET,PHI,99,109
2018/11/3,CLE,CHA,94,126
2018/11/3,BOS,IND,101,102
2018/11/3,MIA,ATL,118,123
2018/11/3,HOU,CHI,96,88
2018/11/3,NOP,SAS,95,109
2018/11/3,UTA,DEN,88,103
2018/11/3,LAL,POR,114,110
2018/11/4,SAC,MIL,109,144
2018/11/4,PHI,BKN,97,122
2018/11/4,NYK,WAS,95,108
2018/11/4,ORL,SAS,117,110
2018/11/4,MEM,PHX,100,102
2018/11/4,MIN,POR,81,111
2018/11/4,TOR,LAL,121,107
2018/11/5,MIA,DET,120,115
2018/11/5,HOU,IND,98,94
2018/11/5,CLE,ORL,100,102
2018/11/5,CHI,NYK,116,115
2018/11/5,NOP,OKC,116,122
