DATE,HOME,AWAY,HSCORE,ASCORE
2021-10-19,BKN,MIL,104,127
2021-10-19,GSW,LAL,121,114
2021-10-20,IND,CHA,122,123
2021-10-20,CHI,DET,94,88
2021-10-20,BOS,NYK,134,138
2021-10-20,WAS,TOR,98,83
2021-10-20,CLE,MEM,121,132
2021-10-20,HOU,MIN,106,124
2021-10-20,PHI,NOP,117,97
2021-10-20,ORL,SAS,97,123
2021-10-20,OKC,UTA,86,107
2021-10-20,DEN,PHX,110,98
2021-10-20,SAC,POR,124,121
2021-10-21,DAL,ATL,87,113
2021-10-21,MIL,MIA,95,137
2021-10-21,LAC,GSW,113,115
2021-10-22,CHA,CLE,123,112
2021-10-22,NYK,ORL,121,96
2021-10-22,IND,WAS,134,135
2021-10-22,TOR,BOS,115,83
2021-10-22,BKN,PHI,114,109
2021-10-22,NOP,CHI,112,128
2021-10-22,OKC,HOU,91,124
2021-10-22,SAS,DEN,96,102
2021-10-22,PHX,LAL,115,105
2021-10-22,UTA,SAC,110,101
2021-10-23,ATL,CLE,95,101
2021-10-23,MIA,IND,91,102
2021-10-23,DAL,TOR,103,95
2021-10-23,DET,CHI,82,97
2021-10-23,NOP,MIN,89,96
2021-10-23,MIL,SAS,121,111
2021-10-23,PHX,POR,105,134
2021-10-23,MEM,LAC,120,114
2021-10-24,CHA,BKN,111,95
2021-10-24,ORL,NYK,110,104
2021-10-24,BOS,HOU,107,97
2021-10-24,PHI,OKC,115,103
2021-10-24,GSW,SAC,119,107
2021-10-24,MEM,LAL,118,121
2021-10-25,BOS,CHA,140,129
2021-10-25,MIL,IND,119,109
2021-10-25,DET,ATL,104,122
2021-10-25,WAS,BKN,90,104
2021-10-25,ORL,MIA,90,107
2021-10-25,CHI,TOR,111,108
2021-10-25,NOP,MIN,107,98
2021-10-25,CLE,DEN,99,87
2021-10-25,POR,LAC,86,116
2021-10-26,PHI,NYK,99,112
2021-10-26,GSW,OKC,106,98
2021-10-26,HOU,DAL,106,116
2021-10-26,LAL,SAS,125,121
2021-10-26,DEN,UTA,110,122
2021-10-27,CHA,ORL,120,111
2021-10-27,WAS,BOS,116,107
2021-10-27,MIA,BKN,106,93
2021-10-27,IND,TOR,100,118
2021-10-27,ATL,NOP,102,99
2021-10-27,MIN,MIL,113,108
2021-10-27,LAL,OKC,115,123
2021-10-27,SAC,PHX,110,107
2021-10-27,MEM,POR,96,116
2021-10-27,CLE,LAC,92,79
2021-10-28,DET,PHI,102,110
2021-10-28,ATL,WAS,111,122
2021-10-28,NYK,CHI,104,103
2021-10-28,UTA,HOU,122,91
2021-10-28,SAS,DAL,99,104
2021-10-28,MEM,GSW,104,101
2021-10-29,ORL,TOR,109,110
2021-10-29,IND,BKN,98,105
2021-10-29,CHA,MIA,99,114
2021-10-29,SAC,NOP,113,109
2021-10-29,DAL,DEN,75,106
2021-10-29,LAC,POR,92,111
2021-10-29,CLE,LAL,101,113
2021-10-30,BOS,WAS,112,115
2021-10-30,ORL,DET,103,110
2021-10-30,NYK,NOP,123,117
2021-10-30,TOR,IND,97,94
2021-10-30,ATL,PHI,94,122
2021-10-30,UTA,CHI,99,107
2021-10-30,MIA,MEM,129,103
2021-10-30,SAS,MIL,102,93
2021-10-30,OKC,GSW,82,103
2021-10-30,DEN,MIN,93,91
2021-10-30,CLE,PHX,92,101
2021-10-31,SAC,DAL,99,105
2021-10-31,POR,CHA,113,125
2021-10-31,UTA,MIL,107,95
2021-10-31,DET,BKN,91,117
2021-10-31,HOU,LAL,85,95
2021-11-01,CLE,CHA,113,110
2021-11-01,SAS,IND,118,131
2021-11-01,POR,PHI,103,113
2021-11-01,WAS,ATL,111,118
2021-11-01,CHI,BOS,128,114
2021-11-01,TOR,NYK,113,104
2021-11-01,DEN,MEM,97,106
2021-11-01,ORL,MIN,115,97
